question,answer1,answer2,answer3,answer4,answer5,solution
"특허받을 권리를 사용자에게 승계한 종업원은 직무발명 보상금 청구에서, 사용자가 추가로 보상금을 지급할 의무 발생을 제한하려면 이를 명시적으로 예외로 인정할 만한 ____가 존재해야 한다.",특별한 사정,내부지침,연구참여기간,시장점유율,개인포상,A
임대인이 임차인에게 임대 목적물을 매도한 경우에도 질권자인 제3자는 임대차보증금반환채권에 대하여 ____ 수 있다.,여전히 질권을 행사할,자동으로 권리를 상실할,오직 매수인에게만 청구할,보증금 반환채권과 별개로 지급을 청구할,질권 설정자에 한해서만 행사할,A
보험계약자와 피보험자가 동일한 인보험계약에서 실제 계약에 임한 자가 계약 명의인과 일치하는지 여부는 보험계약의 ____에 해당한다.,본질적 중요 부분,부수적 사항,사전 합의 요건,사후 확인사항,법적 무관심 사항,A
토지구획정리사업 조합이 체비지를 처분하는 계약을 체결하려면 조합원 총회 또는 이를 대행한 대의원회의 ____ 의결을 거쳐야 한다.,적법한,임의적인,임시적인,부분적인,비공식적인,A
"사해행위는 채무자가 재산을 처분하여 그로 인해 채권자의 채권을 만족시킬 수 없는 위험이 발생하면 인정되는데, 처분 당시 채무자가 이미 ____ 상태이거나, 그 처분으로 인하여 그 상태에 이르게 되는 경우에도 해당한다.",채무초과,재산상실,채권포기,신용상실,위법행위,A
"채권양도 및 공사계약상의 권리·의무 승계를 통해 원고가 직접 공사를 완공하였다면, 그 공사대금채권에 대하여 피고들이 행사한 압류 및 전부명령의 ____는(은) 발생하지 않는다.",효과,우선순위,추심자격,자동대위,대항력,A
"채무자가 채무초과 상태에서 자신의 재산을 타인에게 증여하였다면 특별한 사정이 없는 한 이는 사해행위로 보아야 한다. 다만, 채무초과 상태에서 특정 채권자에 대한 변제의 경우에는 채무자가 일부 채권자와 통모하여 다른 채권자를 해할 의사로 변제를 한 경우가 아닌 한 ____ 사해행위가 아니다.",원칙적으로,반드시,예외적으로만,임의적으로,포괄적으로,A
"행위의 책임을 변식할 지능이 없는 미성년자가 타인에게 손해를 가한 경우, 그 미성년자의 감독의무자는 특별한 사정이 없는 한 ____를 주장하거나 입증하지 않는 이상 손해배상책임을 면할 수 없다.",감독을 해태하지 않았음,고의가 아님,감독상 중과실이 없음,손해의 예견 가능성이 없음,공동불법행위가 아님,A
"보험가입자 검진을 위해 간호사가 의사 지도·감독 없이 채혈을 시행한 경우, 해당 행위는 의료인의 직접적 개입이 없고, 채혈과정에서 감염 등 위험이 발생할 우려가 있으므로 의료행위에 ____ 없다.",해당하지 않는다고 볼 수,해당할 여지가 없다고 할 수,포함된다고 단정할 수,해당하지 않는 예외가 인정된다고 할 수,비의료행위로 해석할 수,A
"이 사건 선박건조계약에서 분할금 지급기일의 도래는 강재절단 실행과 선급의 확인을 거친 원고의 통지가 있으면, 분할금 지급의무자에게 지급기일의 사전 통지가 일부 누락된 경우에도 해제의 적법성에는 ____만으로 이를 부정할 수 없다고 본다.",그 누락 사정,선행 계약위반 사정,계약 목적물의 중대한 하자,일방 당사자의 경제적 곤란,분할금 금액의 변동,A
"공갈죄의 성립을 위해서는 타인에게 해악을 고지하는 협박이 필요하고, 그 협박은 현실적으로 피해자로 하여금 자유의사를 제압할 수 있는 정도이어야 한다. 그러나 단순히 기자라는 신분에 기한 압력이 있을 뿐, 해악을 고지하는 명시적 또는 묵시적 언동이 없는 경우에는 ____에 해당하여 무죄를 선고한다.",범죄의 증명이 없는 경우,위법성이 조각되는 경우,사실오인에 해당하는 경우,구성요건해당성이 없는 경우,위법성조각사유가 있는 경우,A
"대지조성비용 채권이 매매계약에 따라 발생한 경우, 법원은 그 채권의 법적 성질에 비추어 민법 제163조 제3호가 정하는 _____의 단기소멸시효가 적용된다고 보았다.",3년,5년,10년,1년,20년,A
"개인회생절차에서 주채무자가 변제계획에 따라 변제를 이행 중이더라도, 연대보증채무가 신용보증기금법 제30조의3의 적용으로 감경 또는 면제되기 위해서는 ____이(가) 필요하다.",면책결정의 확정,변제계획안의 제출,회생계획인가결정,임의경매개시결정,채무조정안 수락,A
국가배상법상 도로와 같은 영조물의 설치·관리상의 하자를 판단할 때에는 해당 영조물이 사회통념상 일반적으로 갖추어야 할 ____ 안전성을 기준으로 삼아야 한다.,상대적인,절대적인,최소한의,임시적인,제한적인,A
"증권회사는 주식위탁매매 거래에서 고객에게 위탁증거금을 징수한 후 주식매매를 위탁받을 수 있으며, 고객이 결제시한 내에 매수대금을 납부하지 못한 경우 그 결제책임을 일차적으로 부담하는 자는 ____이다.",증권회사,위탁자,거래소,예탁결제원,감독기관,A
"집합건물의 공용부분에 발생한 하자에 대한 손해배상청구권은, 그 귀속 주체와 행사 주체 측면에서 ____에 따라 각 공유자에게 가분적으로 귀속된다.",전유부분의 비율,관리단의 결의,공동소유 전원의 동의,입주자의 요구,매수인의 인원수,A
채권자가 담보로 제공된 점유 부분을 실제로 사용·수익하면서도 대여금에 대한 이자를 청구하는 것은 신의성실의 원칙상 ____ 할 수 없다.,허용,강제,이행,부여,수락,A
"소송이 제기된 시점에 이미 사망한 자는 당사자능력이 없으므로, 이와 같은 경우에는 법원이 직권으로 그 소를 ____ 하여야 한다.",각하,기각,종국판결,변론종결,승계,A
"근저당권이 특정 채무만을 담보하기 위한 것으로 보기 어렵더라도, 합병 전에 발생한 채무 외에 합병 이후에 새로 발생한 채무까지 근저당권이 담보한다고 볼 수는 없으므로, 피담보채무의 범위는 합병 당시 ____ 채무로 한정한다.",존재하던,추후 발생할,문서상 약정된 모든,합병 무관하게 발생한,장래에 예상된,A
"부동산실권리자명의등기에관한법률 제4조에 따라 명의신탁 약정이 무효라 하더라도, 명의수탁자가 당사자가 되어 진정한 권리자를 알지 못하는 제3자와 매매계약을 맺고 소유권이전등기를 마친 경우, 그 부동산의 소유권은 ____에게 귀속된다고 본다.",명의수탁자,명의신탁자,최종 매수인,국가,원소유자,A
"합병의 무효확정판결이 있었더라도 등기부상에 해당 판결에 따른 변경등기가 이루어지지 않은 경우, 선의의 제3자에게는 합병의 무효를 ____ 하지 못한다.",대항,확정,인용,집행,이행,A
"채무의 명의만 빌려주고 실제 대출금 전액을 사용하지 않은 자는 통상적으로 대출금에 대한 변제책임을 부담하지 아니하므로, 이 사건에서 피고는 대출의 ____에 해당한다고 판단된다.",명의대여자,공동채무자,연대보증인,실제 채무자,지급보증기관,A
"설계도면에 하자가 있음을 인정하는 경우에도, 손해배상액 산정과 관련하여서는 원고에게 ____에 관한 구체적인 주장과 입증이 필요하다.",손해액,계약해지의 효력,채무불이행의 사유,과실의 비율,법령위반의 사실,A
"회생법원의 촉탁에 의해 말소된 근저당권설정등기의 회복등기는 원칙적으로 ____에 의해 이루어져야 하므로, 해당 회복등기를 소구할 이익은 없다.",법원의 촉탁,채권자의 단독 신청,공동신청,등기공무원의 직권,명의인 표시정정,A
"상환주식의 조기상환청구권을 행사하여 회사에 통지하면, 원고의 주주로서의 지위는 ____ 지위로 전환된다고 본다.",상환대금 채권자,우선적 이해관계자,담보권 보유자,소수주주,집행권원 신청인,A
민법 제544조에 따라 계약을 해제하기 위해서는 채무불이행이 계약의 목적 달성에 있어 ____ 채무여야 한다.,주된,부수적,명시적,소극적,추상적,A
법률상 또는 작량감경이 이루어지지 않은 경우에는 형을 선고할 때 반드시 ____을(를) 준수해야 한다.,법정형,선고형의 상한,임의적 감경,집행유예 기간,특별사면 기준,A
"어촌계의 손실보상금 분배결의가 효력을 갖기 위해서는, 정관이나 규약에 특별한 정함이 없는 한 계원총회의 ____ 따라야 한다.",결의,일방적 통보,계장 지시,대표자 단독결정,관할관청 허가,A
"대규모할인점과 같이 많은 소비자가 차량을 이용하여 방문하는 경우, 운영주체는 매장뿐만 아니라 주차장에서 고객이 처할 수 있는 위험으로부터 보호할 의무가 있고, 이때 주차장의 안전 유지 의무에는 강도 사건과 같은 범죄 예방을 위한 ____가 포함된다.",주의의무,일반관리의무,결과책임,경미한 주의관리,감독상 과실,A
"농협법 등 강행법규 위반으로 계약의 일부 약정이 무효가 된 경우, 채권자가 진술 및 보장 조항만을 근거로 하여 무효가 된 약정의 이행을 청구하거나 손해배상을 구하는 것은 ____.",허용될 수 없다,원칙적으로 허용된다,사정에 따라 예외적으로 인정할 수 있다,계약당사자 간 합의로만 판단한다,항상 손해배상 청구가 가능하다,A
"회사정리절차 개시 전 국세의 납부기한이 적법하게 연장된 경우, 연장된 납부기한이 회사정리법상 공익채권인지 여부는 당초 납부기한이 아니라 ____을 기준으로 판단해야 한다.",연장된 납부기한,당초 법정납부기한,납세고지서상의 고지납부기한,정리절차개시일 이전의 마지막 영업일,채권신고기간 만료일,A
"공유자 중 일부가 공유물의 사용·수익 방법에 관하여 다른 공유자와 별도의 특약 없이 부당이득에 해당하려면, 그 사용·수익이 공유지분 ____의 합의에 근거하지 않아야 한다.",과반수,전부,1/3,최다수,특수관계인,A
"향후 사기죄 성립 여부 판단에서, 요양급여비 청구행위가 권리행사로서 용인될 수 없다고 평가되려면 사회통념상 ____ 경우에 해당해야 한다.",용인할 수 없는,일반적으로 인정되는,경제적 이익이 충분히 보장되는,실제로 입원치료가 필요한,의료법상 권리가 존중되는,A
"계약의 해석에 있어 처분문서의 문언만으로 당사자의 진정한 의사가 명확하지 않은 경우에는, 그 약정 성립의 동기·경위, 약정의 목적, 당사자의 태도 등을 종합하여 논리와 경험칙에 따라 ____ 해석하여야 한다.",합리적으로,일방적으로,엄격하게,문언대로만,사후적으로,A
전기요금 채권의 소멸시효 기간은 전기요금이 민법상 ____에 해당하므로 3년으로 본다.,생산물의 대가,단순한 금전채권,불법행위로 인한 손해배상,공법상 부과금,위임계약상의 보수,A
"채권자취소권 행사에서 제척기간의 기산점은 채권자가 단순히 채무자의 재산처분 행위를 안 날이 아니라, 채무자가 채권자를 해할 의사로 사해행위를 하였다는 사실을 알게 된 날임을 유의해야 한다. 즉, 제척기간의 기산점이 되려면 채무자의 사해의사까지 인식해야 하므로, 이때 필요한 인식 요소는 ____이다.",사해행위임을 알게 된 때,채무자 명의의 재산처분만 인지한 때,채무자의 재산상 현황을 파악한 때,모든 채권액 전부가 변제되지 않은 때,최초로 세금이 부과된 때,A
"금전거래 약정이 투자약정이 아니라 금전소비대차로 인정되면, 이 약정에는 ____이 적용되어야 한다.",이자제한법,대부업법,상가건물 임대차보호법,부동산실명법,주택임대차보호법,A
"변호사 등록신청에 대해 협회장은 원칙적으로 신청을 받은 후 지체 없이 명부에 등록해야 하지만, 법에 구체적으로 정한 등록거부 사유가 ____ 경우에만 심사위원회의 의결을 거쳐 등록을 거부할 수 있다.",있는,의심되는,전혀 없는,모두 확인되지 않은,논란이 있는,A
"임대차보증금반환채권의 소멸시효는 일반적으로 임대차계약 기간이 만료된 때부터 진행하지만, 채권자가 임차목적물을 ____ 경우에는 시효의 진행이 시작되지 않는다.",계속하여 직접 또는 간접 점유하고 있는,일시적으로 출입한,주민등록만 유지하고 있는,임대인의 동의 없이 전대한,점유 회복 청구를 제기한,A
특정 신문에 광고를 중단하라는 요구에 불응할 경우 불매운동을 하겠다고 위협하여 광고 게재를 받아낸 행위가 정당한 의견표명의 범위를 벗어나 강요죄 및 공갈죄의 협박에 해당하려면 상대방의 ____을(를) 실질적으로 제한할 정도여야 한다.,의사결정의 자유,명예와 신용,피해 최소화 노력,손해 발생 여부,공공의 이익 보호,A
"동산채권담보법상 지명채권에 대한 담보권의 설정과 양도 사이의 우열을 판단할 때에는, 담보권 설정등기일자와 채권양도 통지가 제3채무자에게 도달한 일자의 선후를 기준으로 하여 ____을/를 결정한다.",우선순위,채무이행의무,담보목적물 이전,손해배상책임,채권의 소멸,A
"보증인이 신용카드회원의 카드이용대금에 대해 책임을 질 때, 카드회사 직원이 카드발급과정에서 카드번호를 잘못 기재했더라도, 카드번호가 실제로 특별카드회원에 해당한다면 보증인의 책임은 ____ 않는다.",감경되지,면제되지,전가되지,인정받지,증가하지,A
"계약의 중요 부분에 착오가 있는 경우 당사자는 원칙적으로 이를 취소할 수 있으나, 그 착오가 자신의 ____에 기인한 때에는 취소할 수 없다.",중대한 과실,통상적 판단,상대방의 고의,실질적 손해,일시적 착각,A
해상운송에서 운송인의 손해배상책임이 제한받지 않는 예외는 운송인 자신의 고의나 ____로 인한 경우임을 유의해야 한다.,무모한 행위,과실,업무상 실수,선장의 부주의,불가항력,A
"채권자취소소송에서 채무자가 자신에게 귀속되지 않은 재산을 타인에게 이전한 경우에는, 해당 재산이 채무자의 ____이 되어야 사해행위에 해당한다.",책임재산,사실상 점유물,불법취득물,소유권이전예정부동산,상속대상재산,A
"파산관재인에게 임치청구를 하는 경우, 파산법 등 관련 규정의 취지에 따르면 일반 민사소송이 아니라 ____에 불복을 청구하는 방법으로 해결하여야 한다.",파산법원,지방법원,행정법원,고등법원,가사법원,A
"폭행죄와 중감금치상죄가 모두 성립하는 경우에도, 동일한 행위가 실질적으로 하나의 범죄에 해당하면 법조경합에 따라 ____로 평가하여 처벌하여야 한다.",흡수관계,실체적경합,상상적경합,과실범처리,이중처벌,A
"공동저당권이 설정된 후 기존 건물이 철거되고 신축 건물이 들어선 경우, 별다른 사정이 없다면 저당물의 경매로 토지와 신축건물의 소유자가 달라지더라도 신축건물을 위한 법정지상권은 ____.",성립하지 않는다,항상 성립한다,건물 신축 이전 등기여부에 따라 달라진다,경매 신청 채권자의 동의가 있을 때만 성립한다,신의성실의 원칙으로 자동 부여된다,A
"민법 제536조 제2항에 따라 쌍무계약에서 선이행의무자가 상대방의 의무 이행이 곤란할 현저한 사유가 있음을 이유로 자신의 의무 이행을 거절할 수 있으면, 비록 그 이행거절 의사를 구체적으로 표시하지 않았더라도 이행지체책임이 ____.",발생하지 않는다,감경된다,제한적으로 인정된다,일시적으로 유예된다,무조건 발생한다,A
"보험자가 피보험자에게 지급한 보험금이 손해배상채권액을 초과하는 경우, 구상권의 범위는 손해배상채권액과 지급보험금 중 ____ 금액을 한도로 한다.",적은,큰,평균,명목상,보험계약상,A
